Window,Pattern,Target,Triggers,Wins,Balance,ROI,Stability
8,"[np.int64(17), np.int64(23), np.int64(27)]",0,151,15,299,198.01324503311258,7/9 (78%)
8,"[np.int64(6), np.int64(27), np.int64(36)]",28,101,10,199,197.02970297029702,6/8 (75%)
8,"[np.int64(8), np.int64(11), np.int64(20)]",14,113,11,217,192.0353982300885,6/9 (67%)
8,"[np.int64(27), np.int64(28), np.int64(33)]",24,156,15,294,188.46153846153845,6/9 (67%)
8,"[np.int64(15), np.int64(20), np.int64(25)]",22,126,12,234,185.71428571428572,8/9 (89%)
3,"[np.int64(20), np.int64(29)]",14,148,14,272,183.7837837837838,7/9 (78%)
8,"[np.int64(17), np.int64(26), np.int64(36)]",10,127,12,233,183.46456692913387,8/9 (89%)
8,"[np.int64(3), np.int64(16), np.int64(17)]",31,117,11,213,182.05128205128204,6/9 (67%)
3,"[np.int64(15), np.int64(17)]",24,128,12,232,181.25,7/10 (70%)
3,"[np.int64(12), np.int64(25)]",1,130,12,230,176.9230769230769,6/10 (60%)
8,"[np.int64(14), np.int64(17), np.int64(28)]",34,120,11,210,175.0,7/9 (78%)
8,"[np.int64(21), np.int64(27), np.int64(28)]",34,166,15,284,171.08433734939757,6/9 (67%)
8,"[np.int64(6), np.int64(11), np.int64(19)]",17,156,14,264,169.23076923076923,7/8 (88%)
8,"[np.int64(14), np.int64(18), np.int64(34)]",25,134,12,226,168.65671641791045,6/9 (67%)
8,"[np.int64(11), np.int64(19), np.int64(20)]",15,112,10,188,167.85714285714286,7/9 (78%)
3,"[np.int64(1), np.int64(35)]",15,135,12,225,166.66666666666669,7/9 (78%)
8,"[np.int64(4), np.int64(19), np.int64(28)]",30,135,12,225,166.66666666666669,8/9 (89%)
8,"[np.int64(15), np.int64(26), np.int64(30)]",22,158,14,262,165.82278481012656,8/9 (89%)
3,"[np.int64(22), np.int64(37)]",18,102,9,168,164.70588235294116,7/10 (70%)
8,"[np.int64(3), np.int64(30), np.int64(35)]",32,159,14,261,164.1509433962264,7/9 (78%)
3,"[np.int64(5), np.int64(12)]",30,114,10,186,163.1578947368421,7/9 (78%)
8,"[np.int64(9), np.int64(29), np.int64(36)]",4,103,9,167,162.1359223300971,6/10 (60%)
3,"[np.int64(6), np.int64(26)]",15,126,11,204,161.9047619047619,6/9 (67%)
8,"[np.int64(8), np.int64(25), np.int64(29)]",0,126,11,204,161.9047619047619,5/8 (62%)
3,"[np.int64(13), np.int64(23)]",9,115,10,185,160.8695652173913,6/10 (60%)
8,"[np.int64(3), np.int64(13), np.int64(23)]",19,161,14,259,160.8695652173913,8/10 (80%)
8,"[np.int64(25), np.int64(32), np.int64(33)]",21,138,12,222,160.8695652173913,8/9 (89%)
8,"[np.int64(6), np.int64(25), np.int64(27)]",1,184,16,296,160.8695652173913,8/10 (80%)
8,"[np.int64(3), np.int64(9), np.int64(10)]",1,150,13,240,160.0,8/9 (89%)
3,"[np.int64(4), np.int64(36)]",35,104,9,166,159.6153846153846,7/10 (70%)
8,"[np.int64(8), np.int64(9), np.int64(11)]",23,116,10,184,158.6206896551724,6/9 (67%)
8,"[np.int64(15), np.int64(25), np.int64(31)]",0,128,11,202,157.8125,8/9 (89%)
8,"[np.int64(1), np.int64(4), np.int64(27)]",23,163,14,257,157.66871165644173,6/9 (67%)
3,"[np.int64(8), np.int64(29)]",12,105,9,165,157.14285714285714,6/9 (67%)
8,"[np.int64(5), np.int64(8), np.int64(9)]",17,117,10,183,156.4102564102564,6/9 (67%)
3,"[np.int64(0), np.int64(29)]",15,164,14,256,156.09756097560975,7/10 (70%)
3,"[np.int64(0), np.int64(30)]",14,129,11,201,155.8139534883721,7/10 (70%)
8,"[np.int64(6), np.int64(11), np.int64(30)]",9,129,11,201,155.8139534883721,6/9 (67%)
8,"[np.int64(1), np.int64(5), np.int64(16)]",29,176,15,274,155.6818181818182,7/9 (78%)
3,"[np.int64(25), np.int64(26)]",0,106,9,164,154.7169811320755,6/10 (60%)
8,"[np.int64(3), np.int64(19), np.int64(24)]",29,165,14,255,154.54545454545453,7/9 (78%)
8,"[np.int64(23), np.int64(32), np.int64(35)]",16,118,10,182,154.23728813559322,7/9 (78%)
8,"[np.int64(7), np.int64(15), np.int64(25)]",33,118,10,182,154.23728813559322,7/10 (70%)
8,"[np.int64(15), np.int64(16), np.int64(20)]",23,189,16,291,153.96825396825398,8/9 (89%)
8,"[np.int64(14), np.int64(31), np.int64(37)]",0,178,15,272,152.80898876404493,7/9 (78%)
8,"[np.int64(17), np.int64(31), np.int64(33)]",15,178,15,272,152.80898876404493,7/10 (70%)
8,"[np.int64(9), np.int64(10), np.int64(27)]",23,119,10,181,152.10084033613444,7/9 (78%)
8,"[np.int64(9), np.int64(11), np.int64(27)]",21,131,11,199,151.9083969465649,6/9 (67%)
8,"[np.int64(2), np.int64(8), np.int64(11)]",14,143,12,217,151.74825174825176,7/9 (78%)
8,"[np.int64(4), np.int64(5), np.int64(11)]",15,155,13,235,151.61290322580646,8/9 (89%)
3,"[np.int64(14), np.int64(27)]",30,108,9,162,150.0,6/9 (67%)
3,"[np.int64(9), np.int64(17)]",32,132,11,198,150.0,6/10 (60%)
8,"[np.int64(13), np.int64(14), np.int64(37)]",17,180,15,270,150.0,8/9 (89%)
8,"[np.int64(19), np.int64(20), np.int64(35)]",16,144,12,216,150.0,8/9 (89%)
8,"[np.int64(2), np.int64(6), np.int64(7)]",31,180,15,270,150.0,8/10 (80%)
8,"[np.int64(11), np.int64(18), np.int64(19)]",17,192,16,288,150.0,9/9 (100%)
8,"[np.int64(4), np.int64(13), np.int64(32)]",17,156,13,234,150.0,7/9 (78%)
8,"[np.int64(14), np.int64(26), np.int64(37)]",6,108,9,162,150.0,5/7 (71%)
8,"[np.int64(25), np.int64(34), np.int64(35)]",0,193,16,287,148.70466321243524,8/10 (80%)
8,"[np.int64(6), np.int64(7), np.int64(9)]",31,145,12,215,148.27586206896552,8/10 (80%)
8,"[np.int64(24), np.int64(27), np.int64(37)]",34,121,10,179,147.93388429752065,7/9 (78%)
8,"[np.int64(24), np.int64(27), np.int64(37)]",21,121,10,179,147.93388429752065,6/9 (67%)
8,"[np.int64(7), np.int64(11), np.int64(29)]",6,109,9,161,147.70642201834863,7/10 (70%)
3,"[np.int64(1), np.int64(3)]",18,146,12,214,146.57534246575344,8/9 (89%)
8,"[np.int64(4), np.int64(8), np.int64(20)]",23,146,12,214,146.57534246575344,8/9 (89%)
8,"[np.int64(12), np.int64(30), np.int64(36)]",14,146,12,214,146.57534246575344,8/10 (80%)
8,"[np.int64(6), np.int64(11), np.int64(28)]",19,146,12,214,146.57534246575344,6/8 (75%)
8,"[np.int64(2), np.int64(11), np.int64(25)]",6,134,11,196,146.26865671641792,6/9 (67%)
8,"[np.int64(1), np.int64(16), np.int64(19)]",6,183,15,267,145.9016393442623,7/9 (78%)
8,"[np.int64(2), np.int64(20), np.int64(25)]",6,171,14,249,145.61403508771932,7/10 (70%)
8,"[np.int64(2), np.int64(26), np.int64(29)]",37,110,9,160,145.45454545454547,8/9 (89%)
8,"[np.int64(6), np.int64(13), np.int64(29)]",20,159,13,231,145.2830188679245,6/9 (67%)
8,"[np.int64(1), np.int64(8), np.int64(32)]",33,147,12,213,144.89795918367346,6/9 (67%)
8,"[np.int64(8), np.int64(11), np.int64(31)]",0,147,12,213,144.89795918367346,7/9 (78%)
8,"[np.int64(16), np.int64(18), np.int64(33)]",31,147,12,213,144.89795918367346,7/9 (78%)
8,"[np.int64(3), np.int64(17), np.int64(29)]",31,184,15,266,144.56521739130434,9/9 (100%)
3,"[np.int64(5), np.int64(13)]",14,135,11,195,144.44444444444443,7/9 (78%)
3,"[np.int64(9), np.int64(20)]",23,123,10,177,143.90243902439025,7/9 (78%)
3,"[np.int64(13), np.int64(25)]",20,123,10,177,143.90243902439025,7/10 (70%)
3,"[np.int64(18), np.int64(26)]",33,123,10,177,143.90243902439025,6/10 (60%)
8,"[np.int64(5), np.int64(7), np.int64(23)]",9,123,10,177,143.90243902439025,6/8 (75%)
3,"[np.int64(2), np.int64(4)]",29,111,9,159,143.24324324324326,6/9 (67%)
3,"[np.int64(11), np.int64(25)]",24,111,9,159,143.24324324324326,6/10 (60%)
3,"[np.int64(4), np.int64(28)]",10,111,9,159,143.24324324324326,6/9 (67%)
8,"[np.int64(3), np.int64(17), np.int64(21)]",13,111,9,159,143.24324324324326,6/9 (67%)
8,"[np.int64(5), np.int64(18), np.int64(23)]",0,111,9,159,143.24324324324326,7/9 (78%)
8,"[np.int64(1), np.int64(11), np.int64(33)]",21,148,12,212,143.24324324324326,6/10 (60%)
8,"[np.int64(25), np.int64(29), np.int64(37)]",6,136,11,194,142.64705882352942,8/9 (89%)
8,"[np.int64(17), np.int64(18), np.int64(30)]",34,161,13,229,142.23602484472048,8/10 (80%)
8,"[np.int64(8), np.int64(13), np.int64(29)]",18,124,10,176,141.93548387096774,7/9 (78%)
8,"[np.int64(5), np.int64(12), np.int64(22)]",24,124,10,176,141.93548387096774,6/7 (86%)
8,"[np.int64(1), np.int64(27), np.int64(34)]",23,124,10,176,141.93548387096774,6/10 (60%)
8,"[np.int64(10), np.int64(24), np.int64(30)]",2,149,12,211,141.61073825503357,7/9 (78%)
8,"[np.int64(11), np.int64(18), np.int64(20)]",16,149,12,211,141.61073825503357,6/9 (67%)
8,"[np.int64(20), np.int64(25), np.int64(27)]",23,149,12,211,141.61073825503357,7/9 (78%)
8,"[np.int64(9), np.int64(16), np.int64(29)]",17,174,14,246,141.3793103448276,6/9 (67%)
8,"[np.int64(26), np.int64(29), np.int64(36)]",16,112,9,158,141.07142857142858,6/9 (67%)
8,"[np.int64(0), np.int64(27), np.int64(35)]",8,162,13,228,140.74074074074073,6/10 (60%)
8,"[np.int64(7), np.int64(11), np.int64(21)]",23,125,10,175,140.0,6/9 (67%)
8,"[np.int64(10), np.int64(25), np.int64(29)]",0,175,14,245,140.0,8/8 (100%)
8,"[np.int64(3), np.int64(19), np.int64(25)]",29,125,10,175,140.0,6/9 (67%)
8,"[np.int64(0), np.int64(7), np.int64(34)]",22,150,12,210,140.0,8/9 (89%)
8,"[np.int64(13), np.int64(14), np.int64(16)]",10,138,11,192,139.1304347826087,7/9 (78%)
8,"[np.int64(3), np.int64(14), np.int64(22)]",29,138,11,192,139.1304347826087,7/9 (78%)
8,"[np.int64(14), np.int64(20), np.int64(25)]",23,138,11,192,139.1304347826087,7/9 (78%)
8,"[np.int64(20), np.int64(28), np.int64(31)]",23,138,11,192,139.1304347826087,7/9 (78%)
3,"[np.int64(13), np.int64(36)]",30,113,9,157,138.93805309734512,6/9 (67%)
8,"[np.int64(8), np.int64(11), np.int64(19)]",17,113,9,157,138.93805309734512,6/9 (67%)
8,"[np.int64(10), np.int64(20), np.int64(27)]",29,113,9,157,138.93805309734512,6/9 (67%)
8,"[np.int64(5), np.int64(18), np.int64(35)]",30,113,9,157,138.93805309734512,6/9 (67%)
8,"[np.int64(18), np.int64(19), np.int64(20)]",27,113,9,157,138.93805309734512,6/9 (67%)
8,"[np.int64(14), np.int64(19), np.int64(21)]",16,239,19,331,138.49372384937237,7/9 (78%)
8,"[np.int64(6), np.int64(24), np.int64(26)]",17,151,12,209,138.41059602649005,6/9 (67%)
8,"[np.int64(19), np.int64(26), np.int64(37)]",6,151,12,209,138.41059602649005,6/9 (67%)
8,"[np.int64(0), np.int64(25), np.int64(36)]",33,151,12,209,138.41059602649005,6/10 (60%)
8,"[np.int64(6), np.int64(14), np.int64(16)]",10,214,17,296,138.3177570093458,8/9 (89%)
3,"[np.int64(14), np.int64(15)]",21,126,10,174,138.0952380952381,6/9 (67%)
8,"[np.int64(3), np.int64(7), np.int64(17)]",0,126,10,174,138.0952380952381,6/9 (67%)
8,"[np.int64(5), np.int64(19), np.int64(23)]",21,164,13,226,137.80487804878047,6/9 (67%)
8,"[np.int64(5), np.int64(10), np.int64(11)]",4,101,8,139,137.6237623762376,6/9 (67%)
8,"[np.int64(6), np.int64(27), np.int64(36)]",3,101,8,139,137.6237623762376,6/8 (75%)
3,"[np.int64(12), np.int64(31)]",35,139,11,191,137.41007194244602,7/10 (70%)
8,"[np.int64(1), np.int64(11), np.int64(34)]",4,177,14,243,137.28813559322032,8/10 (80%)
8,"[np.int64(9), np.int64(10), np.int64(14)]",8,152,12,208,136.8421052631579,8/9 (89%)
8,"[np.int64(11), np.int64(25), np.int64(31)]",35,152,12,208,136.8421052631579,7/9 (78%)
8,"[np.int64(5), np.int64(23), np.int64(36)]",21,114,9,156,136.8421052631579,6/9 (67%)
8,"[np.int64(18), np.int64(22), np.int64(33)]",36,152,12,208,136.8421052631579,6/10 (60%)
8,"[np.int64(9), np.int64(30), np.int64(34)]",20,190,15,260,136.8421052631579,6/9 (67%)
8,"[np.int64(21), np.int64(26), np.int64(36)]",7,127,10,173,136.2204724409449,6/9 (67%)
8,"[np.int64(22), np.int64(36), np.int64(37)]",3,140,11,190,135.71428571428572,7/10 (70%)
8,"[np.int64(8), np.int64(25), np.int64(37)]",2,140,11,190,135.71428571428572,6/10 (60%)
8,"[np.int64(22), np.int64(24), np.int64(31)]",6,191,15,259,135.6020942408377,7/10 (70%)
8,"[np.int64(23), np.int64(28), np.int64(37)]",3,191,15,259,135.6020942408377,7/9 (78%)
3,"[np.int64(18), np.int64(36)]",35,102,8,138,135.29411764705884,6/9 (67%)
3,"[np.int64(4), np.int64(14)]",19,102,8,138,135.29411764705884,6/9 (67%)
8,"[np.int64(27), np.int64(32), np.int64(37)]",21,102,8,138,135.29411764705884,6/7 (86%)
8,"[np.int64(8), np.int64(11), np.int64(22)]",9,102,8,138,135.29411764705884,6/9 (67%)
8,"[np.int64(5), np.int64(11), np.int64(31)]",19,153,12,207,135.29411764705884,8/9 (89%)
8,"[np.int64(12), np.int64(14), np.int64(16)]",6,153,12,207,135.29411764705884,6/9 (67%)
3,"[np.int64(20), np.int64(35)]",33,115,9,155,134.7826086956522,6/10 (60%)
3,"[np.int64(5), np.int64(36)]",32,115,9,155,134.7826086956522,6/9 (67%)
8,"[np.int64(15), np.int64(25), np.int64(36)]",29,115,9,155,134.7826086956522,7/9 (78%)
8,"[np.int64(3), np.int64(25), np.int64(30)]",18,115,9,155,134.7826086956522,7/9 (78%)
3,"[np.int64(7), np.int64(9)]",31,128,10,172,134.375,6/10 (60%)
8,"[np.int64(3), np.int64(6), np.int64(30)]",21,128,10,172,134.375,8/9 (89%)
8,"[np.int64(6), np.int64(18), np.int64(19)]",17,192,15,258,134.375,7/10 (70%)
8,"[np.int64(5), np.int64(7), np.int64(27)]",18,128,10,172,134.375,5/8 (62%)
8,"[np.int64(5), np.int64(20), np.int64(26)]",3,141,11,189,134.04255319148936,8/9 (89%)
8,"[np.int64(10), np.int64(17), np.int64(27)]",1,141,11,189,134.04255319148936,7/9 (78%)
8,"[np.int64(7), np.int64(25), np.int64(35)]",29,141,11,189,134.04255319148936,7/10 (70%)
3,"[np.int64(6), np.int64(15)]",0,154,12,206,133.76623376623377,8/9 (89%)
3,"[np.int64(10), np.int64(32)]",30,154,12,206,133.76623376623377,7/9 (78%)
8,"[np.int64(0), np.int64(4), np.int64(21)]",35,154,12,206,133.76623376623377,8/9 (89%)
8,"[np.int64(5), np.int64(7), np.int64(24)]",31,154,12,206,133.76623376623377,6/9 (67%)
8,"[np.int64(3), np.int64(27), np.int64(29)]",0,167,13,223,133.5329341317365,6/9 (67%)
8,"[np.int64(0), np.int64(18), np.int64(35)]",24,167,13,223,133.5329341317365,6/9 (67%)
8,"[np.int64(19), np.int64(22), np.int64(25)]",31,180,14,240,133.33333333333331,6/9 (67%)
8,"[np.int64(17), np.int64(22), np.int64(35)]",28,193,15,257,133.16062176165804,7/9 (78%)
3,"[np.int64(8), np.int64(12)]",4,103,8,137,133.0097087378641,6/10 (60%)
8,"[np.int64(27), np.int64(28), np.int64(31)]",4,103,8,137,133.0097087378641,7/9 (78%)
3,"[np.int64(3), np.int64(9)]",0,116,9,154,132.75862068965517,7/9 (78%)
3,"[np.int64(8), np.int64(21)]",21,116,9,154,132.75862068965517,6/9 (67%)
8,"[np.int64(4), np.int64(9), np.int64(36)]",12,129,10,171,132.5581395348837,7/9 (78%)
8,"[np.int64(8), np.int64(11), np.int64(18)]",37,129,10,171,132.5581395348837,7/9 (78%)
8,"[np.int64(8), np.int64(29), np.int64(30)]",6,129,10,171,132.5581395348837,7/10 (70%)
8,"[np.int64(7), np.int64(11), np.int64(14)]",33,129,10,171,132.5581395348837,7/10 (70%)
8,"[np.int64(4), np.int64(10), np.int64(22)]",24,142,11,188,132.3943661971831,6/9 (67%)
8,"[np.int64(24), np.int64(27), np.int64(29)]",9,155,12,205,132.25806451612902,6/10 (60%)
8,"[np.int64(3), np.int64(17), np.int64(19)]",15,168,13,222,132.14285714285714,8/9 (89%)
8,"[np.int64(3), np.int64(17), np.int64(34)]",15,168,13,222,132.14285714285714,6/9 (67%)
8,"[np.int64(0), np.int64(17), np.int64(27)]",15,181,14,239,132.04419889502762,7/10 (70%)
8,"[np.int64(0), np.int64(8), np.int64(33)]",23,194,15,256,131.95876288659792,7/10 (70%)
8,"[np.int64(3), np.int64(16), np.int64(24)]",28,207,16,273,131.8840579710145,7/9 (78%)
3,"[np.int64(12), np.int64(25)]",0,130,10,170,130.76923076923077,8/10 (80%)
3,"[np.int64(6), np.int64(9)]",24,117,9,153,130.76923076923077,6/8 (75%)
3,"[np.int64(11), np.int64(24)]",15,130,10,170,130.76923076923077,6/9 (67%)
8,"[np.int64(7), np.int64(12), np.int64(21)]",1,117,9,153,130.76923076923077,6/9 (67%)
8,"[np.int64(2), np.int64(9), np.int64(32)]",16,143,11,187,130.76923076923077,6/9 (67%)
8,"[np.int64(1), np.int64(8), np.int64(28)]",5,130,10,170,130.76923076923077,6/9 (67%)
8,"[np.int64(15), np.int64(16), np.int64(36)]",29,156,12,204,130.76923076923077,6/9 (67%)
8,"[np.int64(10), np.int64(26), np.int64(31)]",29,182,14,238,130.76923076923077,7/9 (78%)
8,"[np.int64(6), np.int64(17), np.int64(36)]",15,130,10,170,130.76923076923077,7/9 (78%)
8,"[np.int64(5), np.int64(17), np.int64(22)]",15,117,9,153,130.76923076923077,6/9 (67%)
8,"[np.int64(11), np.int64(29), np.int64(30)]",6,117,9,153,130.76923076923077,7/10 (70%)
8,"[np.int64(3), np.int64(16), np.int64(17)]",34,117,9,153,130.76923076923077,7/9 (78%)
8,"[np.int64(6), np.int64(26), np.int64(29)]",17,169,13,221,130.76923076923077,7/9 (78%)
8,"[np.int64(14), np.int64(24), np.int64(25)]",31,169,13,221,130.76923076923077,7/9 (78%)
8,"[np.int64(24), np.int64(27), np.int64(36)]",34,130,10,170,130.76923076923077,6/9 (67%)
8,"[np.int64(9), np.int64(24), np.int64(27)]",21,143,11,187,130.76923076923077,6/9 (67%)
8,"[np.int64(5), np.int64(7), np.int64(13)]",28,156,12,204,130.76923076923077,6/9 (67%)
8,"[np.int64(21), np.int64(27), np.int64(35)]",31,169,13,221,130.76923076923077,6/9 (67%)
8,"[np.int64(14), np.int64(23), np.int64(30)]",0,196,15,254,129.59183673469389,7/9 (78%)
8,"[np.int64(10), np.int64(20), np.int64(28)]",26,183,14,237,129.5081967213115,8/9 (89%)
8,"[np.int64(0), np.int64(18), np.int64(36)]",24,170,13,220,129.41176470588235,8/10 (80%)
8,"[np.int64(3), np.int64(15), np.int64(31)]",34,170,13,220,129.41176470588235,8/9 (89%)
8,"[np.int64(12), np.int64(13), np.int64(28)]",37,170,13,220,129.41176470588235,7/9 (78%)
8,"[np.int64(8), np.int64(20), np.int64(26)]",3,170,13,220,129.41176470588235,6/9 (67%)
8,"[np.int64(18), np.int64(25), np.int64(31)]",30,157,12,203,129.29936305732483,7/9 (78%)
8,"[np.int64(4), np.int64(25), np.int64(35)]",30,157,12,203,129.29936305732483,6/9 (67%)
8,"[np.int64(3), np.int64(20), np.int64(25)]",6,157,12,203,129.29936305732483,7/9 (78%)
8,"[np.int64(8), np.int64(27), np.int64(34)]",26,157,12,203,129.29936305732483,7/10 (70%)
8,"[np.int64(5), np.int64(12), np.int64(26)]",3,144,11,186,129.16666666666669,6/9 (67%)
3,"[np.int64(3), np.int64(26)]",29,131,10,169,129.00763358778627,7/9 (78%)
3,"[np.int64(2), np.int64(33)]",23,131,10,169,129.00763358778627,7/10 (70%)
8,"[np.int64(9), np.int64(17), np.int64(36)]",15,131,10,169,129.00763358778627,7/9 (78%)
8,"[np.int64(4), np.int64(14), np.int64(26)]",19,131,10,169,129.00763358778627,5/8 (62%)
8,"[np.int64(11), np.int64(21), np.int64(31)]",35,131,10,169,129.00763358778627,6/9 (67%)
8,"[np.int64(2), np.int64(11), np.int64(20)]",14,131,10,169,129.00763358778627,6/9 (67%)
3,"[np.int64(20), np.int64(21)]",27,118,9,152,128.81355932203388,6/10 (60%)
3,"[np.int64(2), np.int64(19)]",31,118,9,152,128.81355932203388,7/9 (78%)
8,"[np.int64(8), np.int64(16), np.int64(29)]",2,118,9,152,128.81355932203388,8/9 (89%)
8,"[np.int64(8), np.int64(11), np.int64(37)]",23,118,9,152,128.81355932203388,6/8 (75%)
8,"[np.int64(16), np.int64(19), np.int64(33)]",6,118,9,152,128.81355932203388,6/9 (67%)
8,"[np.int64(3), np.int64(17), np.int64(27)]",0,118,9,152,128.81355932203388,6/9 (67%)
8,"[np.int64(13), np.int64(16), np.int64(33)]",22,105,8,135,128.57142857142858,6/9 (67%)
8,"[np.int64(3), np.int64(35), np.int64(36)]",13,105,8,135,128.57142857142858,7/9 (78%)
8,"[np.int64(8), np.int64(24), np.int64(25)]",9,184,14,236,128.26086956521738,8/9 (89%)
8,"[np.int64(1), np.int64(7), np.int64(26)]",15,171,13,219,128.0701754385965,6/10 (60%)
8,"[np.int64(2), np.int64(5), np.int64(34)]",13,171,13,219,128.0701754385965,7/9 (78%)
8,"[np.int64(6), np.int64(32), np.int64(33)]",19,171,13,219,128.0701754385965,7/9 (78%)
8,"[np.int64(23), np.int64(27), np.int64(33)]",0,171,13,219,128.0701754385965,6/10 (60%)
8,"[np.int64(7), np.int64(34), np.int64(36)]",5,158,12,202,127.84810126582278,8/9 (89%)
8,"[np.int64(3), np.int64(7), np.int64(11)]",1,158,12,202,127.84810126582278,7/9 (78%)
8,"[np.int64(6), np.int64(19), np.int64(27)]",14,158,12,202,127.84810126582278,6/10 (60%)
8,"[np.int64(18), np.int64(33), np.int64(37)]",31,158,12,202,127.84810126582278,6/9 (67%)
8,"[np.int64(4), np.int64(9), np.int64(27)]",1,145,11,185,127.58620689655173,7/10 (70%)
8,"[np.int64(6), np.int64(27), np.int64(31)]",3,145,11,185,127.58620689655173,8/9 (89%)
8,"[np.int64(11), np.int64(22), np.int64(32)]",31,145,11,185,127.58620689655173,7/9 (78%)
8,"[np.int64(5), np.int64(17), np.int64(33)]",15,145,11,185,127.58620689655173,5/8 (62%)
3,"[np.int64(13), np.int64(22)]",25,132,10,168,127.27272727272727,6/9 (67%)
3,"[np.int64(8), np.int64(22)]",26,132,10,168,127.27272727272727,6/9 (67%)
8,"[np.int64(27), np.int64(28), np.int64(32)]",24,132,10,168,127.27272727272727,6/9 (67%)
8,"[np.int64(11), np.int64(17), np.int64(33)]",14,132,10,168,127.27272727272727,8/10 (80%)
8,"[np.int64(5), np.int64(23), np.int64(24)]",9,132,10,168,127.27272727272727,6/8 (75%)
8,"[np.int64(17), np.int64(27), np.int64(29)]",0,132,10,168,127.27272727272727,7/10 (70%)
8,"[np.int64(5), np.int64(20), np.int64(25)]",6,119,9,151,126.890756302521,6/9 (67%)
8,"[np.int64(1), np.int64(17), np.int64(28)]",32,172,13,218,126.74418604651163,7/8 (88%)
8,"[np.int64(9), np.int64(25), np.int64(34)]",0,172,13,218,126.74418604651163,6/10 (60%)
3,"[np.int64(27), np.int64(29)]",0,106,8,134,126.41509433962264,6/10 (60%)
8,"[np.int64(6), np.int64(17), np.int64(32)]",16,212,16,268,126.41509433962264,8/9 (89%)
8,"[np.int64(3), np.int64(26), np.int64(35)]",33,159,12,201,126.41509433962264,7/9 (78%)
8,"[np.int64(3), np.int64(19), np.int64(20)]",30,159,12,201,126.41509433962264,6/9 (67%)
8,"[np.int64(11), np.int64(12), np.int64(36)]",16,159,12,201,126.41509433962264,7/9 (78%)
8,"[np.int64(13), np.int64(19), np.int64(34)]",28,146,11,184,126.02739726027397,7/9 (78%)
8,"[np.int64(10), np.int64(23), np.int64(36)]",33,146,11,184,126.02739726027397,8/9 (89%)
8,"[np.int64(1), np.int64(19), np.int64(20)]",23,146,11,184,126.02739726027397,6/9 (67%)
3,"[np.int64(6), np.int64(17)]",29,133,10,167,125.5639097744361,7/9 (78%)
8,"[np.int64(9), np.int64(33), np.int64(35)]",34,133,10,167,125.5639097744361,6/10 (60%)
8,"[np.int64(2), np.int64(4), np.int64(22)]",19,133,10,167,125.5639097744361,6/8 (75%)
8,"[np.int64(6), np.int64(21), np.int64(33)]",24,173,13,217,125.4335260115607,8/9 (89%)
8,"[np.int64(6), np.int64(18), np.int64(28)]",17,200,15,250,125.0,7/9 (78%)
8,"[np.int64(0), np.int64(14), np.int64(32)]",12,240,18,300,125.0,7/9 (78%)
8,"[np.int64(8), np.int64(19), np.int64(31)]",33,200,15,250,125.0,7/10 (70%)
8,"[np.int64(10), np.int64(19), np.int64(34)]",3,120,9,150,125.0,7/9 (78%)
8,"[np.int64(10), np.int64(11), np.int64(21)]",16,120,9,150,125.0,6/9 (67%)
8,"[np.int64(1), np.int64(19), np.int64(26)]",3,160,12,200,125.0,7/9 (78%)
8,"[np.int64(8), np.int64(21), np.int64(24)]",31,187,14,233,124.59893048128343,9/9 (100%)
8,"[np.int64(8), np.int64(9), np.int64(20)]",23,147,11,183,124.48979591836735,6/10 (60%)
8,"[np.int64(17), np.int64(20), np.int64(31)]",23,147,11,183,124.48979591836735,6/10 (60%)
8,"[np.int64(7), np.int64(12), np.int64(15)]",16,147,11,183,124.48979591836735,5/8 (62%)
3,"[np.int64(24), np.int64(36)]",15,107,8,133,124.29906542056075,6/10 (60%)
8,"[np.int64(23), np.int64(26), np.int64(34)]",24,214,16,266,124.29906542056075,7/9 (78%)
8,"[np.int64(12), np.int64(23), np.int64(29)]",0,107,8,133,124.29906542056075,6/9 (67%)
3,"[np.int64(0), np.int64(15)]",32,174,13,216,124.13793103448276,6/9 (67%)
8,"[np.int64(2), np.int64(7), np.int64(27)]",19,174,13,216,124.13793103448276,8/10 (80%)
8,"[np.int64(12), np.int64(29), np.int64(34)]",1,174,13,216,124.13793103448276,7/9 (78%)
3,"[np.int64(7), np.int64(30)]",13,134,10,166,123.88059701492537,6/10 (60%)
3,"[np.int64(7), np.int64(30)]",17,134,10,166,123.88059701492537,7/10 (70%)
8,"[np.int64(13), np.int64(27), np.int64(28)]",33,134,10,166,123.88059701492537,7/9 (78%)
8,"[np.int64(13), np.int64(16), np.int64(32)]",22,134,10,166,123.88059701492537,5/8 (62%)
8,"[np.int64(3), np.int64(14), np.int64(37)]",12,134,10,166,123.88059701492537,6/9 (67%)
8,"[np.int64(26), np.int64(27), np.int64(34)]",20,161,12,199,123.6024844720497,6/9 (67%)
8,"[np.int64(9), np.int64(26), np.int64(28)]",20,161,12,199,123.6024844720497,7/9 (78%)
8,"[np.int64(2), np.int64(4), np.int64(29)]",10,188,14,232,123.40425531914893,8/9 (89%)
8,"[np.int64(20), np.int64(25), np.int64(28)]",19,121,9,149,123.14049586776858,6/9 (67%)
8,"[np.int64(20), np.int64(36), np.int64(37)]",9,121,9,149,123.14049586776858,6/9 (67%)
8,"[np.int64(8), np.int64(16), np.int64(32)]",3,148,11,182,122.97297297297298,7/9 (78%)
